symbol,session_date,side,entry_ts,entry_price,stop,target,exit_ts,exit_price,exit_reason,minutes_since_open_at_entry,tod_bucket_at_entry,r_multiple,pnl_bps
NVDA,2026-02-17,long,2026-02-17 10:18:00-05:00,180.49,174.6,187.51,2026-02-17 15:59:00-05:00,185.0299,eod,48,mid_morning_45_120,0.7707809847198603,245.53194082774607
NVDA,2026-02-19,long,2026-02-19 10:03:00-05:00,187.35,179.18,190.37,2026-02-19 15:59:00-05:00,187.89,eod,33,sneaky_window_15_45,0.06609547123622923,22.82305844675698
NVDA,2026-02-20,short,2026-02-20 10:05:00-05:00,187.26,190.37,185.66,2026-02-20 15:59:00-05:00,189.81,eod,35,sneaky_window_15_45,-0.819935691318328,-142.17430310797883
NVDA,2026-02-23,short,2026-02-23 10:17:00-05:00,191.08,190.37,185.9378,2026-02-23 10:18:00-05:00,190.37,stop,47,mid_morning_45_120,,31.157211639104453
NVDA,2026-02-24,long,2026-02-24 10:21:00-05:00,191.28,185.9378,193.95,2026-02-24 15:59:00-05:00,192.805,eod,51,mid_morning_45_120,0.2854629178989945,73.72605604349674
NVDA,2026-02-25,short,2026-02-25 10:15:00-05:00,195.56,193.95,187.4,2026-02-25 10:16:00-05:00,193.95,stop,45,mid_morning_45_120,,76.32767437103772
NVDA,2026-03-02,long,2026-03-02 10:05:00-05:00,180.15,174.6,182.59,2026-03-02 11:44:00-05:00,182.59,target,35,sneaky_window_15_45,0.4396396396396383,129.44268665001374
NVDA,2026-03-09,long,2026-03-09 10:02:00-04:00,177.37,174.62,182.7561,2026-03-09 15:38:00-04:00,182.7561,target,32,sneaky_window_15_45,1.9585818181818178,297.6646558042509
NVDA,2026-03-10,short,2026-03-10 10:00:00-04:00,182.48,184.06,175.56,2026-03-10 10:26:00-04:00,184.06,stop,30,sneaky_window_15_45,-1.0,-92.58483121438034
NVDA,2026-03-11,short,2026-03-11 10:31:00-04:00,186.4,194.29,182.01,2026-03-11 15:59:00-04:00,186.01,eod,61,mid_morning_45_120,0.04942965779467876,14.922746781116675
NVDA,2026-03-12,long,2026-03-12 11:38:00-04:00,183.23,182.01,187.62,2026-03-12 15:59:00-04:00,183.01,eod,128,midday_120_240,-0.18032786885245825,-18.006767450744903
NVDA,2026-03-13,short,2026-03-13 10:02:00-04:00,184.6699,187.62,181.75,2026-03-13 11:01:00-04:00,181.75,target,32,sneaky_window_15_45,0.989763058879367,152.114560088028
NVDA,2026-03-18,long,2026-03-18 10:02:00-04:00,182.6,181.41,185.4,2026-03-18 14:52:00-04:00,181.41,stop,32,sneaky_window_15_45,-1.0,-71.16976998904697
NVDA,2026-03-19,long,2026-03-19 10:00:00-04:00,177.68,179.94,183.38,2026-03-19 10:01:00-04:00,179.94,stop,30,sneaky_window_15_45,,121.19495722647405
NVDA,2026-03-24,long,2026-03-24 10:00:00-04:00,175.305,171.72,178.37,2026-03-24 15:59:00-04:00,175.31,eod,30,sneaky_window_15_45,0.0013947001394687423,-5.714782807107872
NVDA,2026-03-25,short,2026-03-25 10:00:00-04:00,178.07,178.37,173.98,2026-03-25 10:01:00-04:00,178.37,stop,30,sneaky_window_15_45,-1.0,-22.847307238726984
NVDA,2026-03-27,long,2026-03-27 11:27:00-04:00,169.39,171.03,176.51,2026-03-27 11:28:00-04:00,171.03,stop,117,mid_morning_45_120,,90.81799397839393
NVDA,2026-04-02,long,2026-04-02 10:00:00-04:00,174.18,166.96,177.37,2026-04-02 15:10:00-04:00,177.37,target,30,sneaky_window_15_45,0.4418282548476452,177.14387415317472
NVDA,2026-04-07,long,2026-04-07 12:03:00-04:00,175.63,171.37,177.79,2026-04-07 15:56:00-04:00,177.79,target,153,midday_120_240,0.5070422535211271,116.98582246768756
NVDA,2026-04-08,short,2026-04-08 10:00:00-04:00,182.58,181.22,173.66,2026-04-08 10:01:00-04:00,181.22,stop,30,sneaky_window_15_45,,68.48789571694674
NVDA,2026-04-14,short,2026-04-14 10:00:00-04:00,192.13,190.0,185.74,2026-04-14 10:01:00-04:00,190.0,stop,30,sneaky_window_15_45,,104.86243689168768
NVDA,2026-04-23,short,2026-04-23 10:22:00-04:00,202.01,202.75,199.0,2026-04-23 10:58:00-04:00,202.75,stop,52,mid_morning_45_120,-1.0,-42.631849908420826
NVDA,2026-05-08,short,2026-05-08 10:16:00-04:00,215.68,214.73,206.5,2026-05-08 10:17:00-04:00,214.73,stop,46,mid_morning_45_120,,38.0467359050453
NVDA,2026-05-26,long,2026-05-26 10:19:00-04:00,216.28,213.89,221.01,2026-05-26 11:10:00-04:00,213.89,stop,49,mid_morning_45_120,-1.0,-116.5049010541897
NVDA,2026-05-28,short,2026-05-28 10:46:00-04:00,211.7,218.18,208.78,2026-05-28 15:59:00-04:00,214.26,eod,76,mid_morning_45_120,-0.395061728395061,-126.92583845063781
NVDA,2026-05-29,short,2026-05-29 10:25:00-04:00,215.79,218.18,211.22,2026-05-29 15:59:00-04:00,211.22,target,55,mid_morning_45_120,1.9121338912133745,205.77997126836246
NVDA,2026-06-02,short,2026-06-02 10:21:00-04:00,229.07,227.3999,215.7,2026-06-02 10:22:00-04:00,227.3999,stop,51,mid_morning_45_120,,66.90784476360898
NVDA,2026-06-04,long,2026-06-04 10:15:00-04:00,212.81,211.13,222.82,2026-06-04 15:59:00-04:00,218.715,eod,45,mid_morning_45_120,3.514880952380939,271.4775621446361
NVDA,2026-06-09,short,2026-06-09 10:00:00-04:00,209.03,214.87,206.0,2026-06-09 10:18:00-04:00,206.0,target,30,sneaky_window_15_45,0.5188356164383561,138.95526957852945
NVDA,2026-06-15,short,2026-06-15 10:00:00-04:00,208.71,207.22,203.4385,2026-06-15 10:01:00-04:00,207.22,stop,30,sneaky_window_15_45,,65.39092520722576
NVDA,2026-06-22,short,2026-06-22 10:15:00-04:00,212.63,211.5,206.5,2026-06-22 10:16:00-04:00,211.5,stop,45,mid_morning_45_120,,47.14395898979427
NVDA,2026-06-24,long,2026-06-24 10:30:00-04:00,200.19,199.54,203.77,2026-06-24 12:43:00-04:00,199.54,stop,60,mid_morning_45_120,-1.0,-38.46915430341205
NVDA,2026-06-25,long,2026-06-25 10:52:00-04:00,195.9,196.03,201.67,2026-06-25 10:53:00-04:00,196.03,stop,82,mid_morning_45_120,,0.6360387953034943
NVDA,2026-06-26,long,2026-06-26 10:00:00-04:00,194.06,190.77,200.8,2026-06-26 15:59:00-04:00,191.72,eod,30,sneaky_window_15_45,-0.7112462006079054,-126.58126352674448
NVDA,2026-06-29,short,2026-06-29 10:00:00-04:00,193.03,200.8,191.22,2026-06-29 10:13:00-04:00,191.22,target,30,sneaky_window_15_45,0.23294723294723294,87.76780811272872
NVDA,2026-06-30,short,2026-06-30 10:54:00-04:00,196.64,200.8,189.8,2026-06-30 15:59:00-04:00,199.76,eod,84,mid_morning_45_120,-0.7499999999999966,-164.66558177380008
NVDA,2026-07-01,long,2026-07-01 10:09:00-04:00,195.73,189.8,200.63,2026-07-01 15:59:00-04:00,197.58,eod,39,sneaky_window_15_45,0.311973018549752,88.51795841209946
NVDA,2026-07-07,long,2026-07-07 10:00:00-04:00,192.89,192.35,197.55,2026-07-07 10:19:00-04:00,192.35,stop,30,sneaky_window_15_45,-1.0,-33.995230442220546
NVDA,2026-07-08,short,2026-07-08 10:11:00-04:00,197.1,200.055,191.14,2026-07-08 12:22:00-04:00,200.055,stop,41,sneaky_window_15_45,-1.0,-155.9238964992396
NVDA,2026-07-10,short,2026-07-10 10:33:00-04:00,206.24,205.16,198.96,2026-07-10 10:34:00-04:00,205.16,stop,63,mid_morning_45_120,,46.36617532971356
