date,coin,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2026-04-29 18:00,WIF/USD,0.175453,0.181594,2.9838,take_profit,3.0
2026-04-29 18:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,3.0
2026-05-01 15:00,RENDER/USD,1.678585,1.718805,1.8854,timeout,48.0
2026-05-04 00:00,ARB/USD,0.11935,0.116366,-2.9863,stop_loss,23.0
2026-05-04 13:00,ARB/USD,0.114177,0.118173,2.9838,take_profit,3.0
2026-05-11 14:00,WIF/USD,0.222703,0.230498,2.9838,take_profit,11.0
2026-05-13 14:00,WIF/USD,0.2217,0.229459,2.9838,take_profit,2.0
2026-05-13 15:00,BONK/USD,7e-06,7e-06,-2.9863,stop_loss,3.0
2026-05-13 15:00,ARB/USD,0.135652,0.132261,-2.9863,stop_loss,3.0
2026-05-14 03:00,WIF/USD,0.21837,0.212911,-2.9863,stop_loss,13.0
2026-05-14 14:00,BONK/USD,7e-06,7e-06,2.9838,take_profit,23.0
2026-05-14 14:00,RENDER/USD,1.83,1.89405,2.9838,take_profit,23.0
2026-05-15 13:00,WIF/USD,0.211222,0.205941,-2.9863,stop_loss,8.0
2026-05-15 21:00,RENDER/USD,1.8075,1.870762,2.9838,take_profit,8.0
2026-05-16 04:00,WIF/USD,0.202,0.20907,2.9838,take_profit,15.0
2026-05-16 07:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,18.0
2026-05-16 07:00,RENDER/USD,1.832835,1.787014,-2.9863,stop_loss,1.0
2026-05-16 09:00,WIF/USD,0.19845,0.205396,2.9838,take_profit,2.0
2026-05-16 09:00,BONK/USD,6e-06,7e-06,2.9838,take_profit,2.0
2026-05-16 09:00,RENDER/USD,1.80078,1.863807,2.9838,take_profit,2.0
2026-05-17 23:00,WIF/USD,0.1957,0.190808,-2.9863,stop_loss,38.0
2026-05-17 23:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,38.0
2026-05-17 23:00,RENDER/USD,1.798985,1.75401,-2.9863,stop_loss,38.0
2026-05-18 06:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,5.0
2026-05-18 06:00,RENDER/USD,1.7847,1.847164,2.9838,take_profit,5.0
2026-05-22 19:00,RENDER/USD,1.930765,1.882496,-2.9863,stop_loss,1.0
2026-05-22 23:00,WIF/USD,0.19356,0.188721,-2.9863,stop_loss,4.0
2026-05-22 23:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,4.0
2026-05-22 23:00,RENDER/USD,1.88286,1.835789,-2.9863,stop_loss,4.0
2026-05-23 08:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,1.0
2026-05-23 14:00,RENDER/USD,1.78223,1.844608,2.9838,take_profit,7.0
2026-05-23 16:00,WIF/USD,0.181599,0.187955,2.9838,take_profit,9.0
2026-05-23 16:00,ARB/USD,0.104705,0.10837,2.9838,take_profit,8.0
2026-05-27 11:00,RENDER/USD,2.194135,2.27093,2.9838,take_profit,4.0
2026-05-27 14:00,ARB/USD,0.107695,0.111464,2.9838,take_profit,21.0
2026-05-27 21:00,RENDER/USD,2.16906,2.114834,-2.9863,stop_loss,4.0
2026-05-28 02:00,RENDER/USD,2.116325,2.063417,-2.9863,stop_loss,3.0
2026-05-28 03:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,5.0
2026-05-28 03:00,RENDER/USD,2.04555,2.117144,2.9838,take_profit,1.0
2026-05-28 04:00,WIF/USD,0.178451,0.184696,2.9838,take_profit,1.0
2026-05-28 04:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,1.0
2026-05-28 04:00,RENDER/USD,2.00927,2.079594,2.9838,take_profit,1.0
2026-05-28 06:00,WIF/USD,0.17755,0.183764,2.9838,take_profit,2.0
2026-05-28 06:00,RENDER/USD,2.031,1.980225,-2.9863,stop_loss,2.0
2026-05-28 11:00,BONK/USD,5e-06,5e-06,-2.9863,stop_loss,7.0
2026-05-28 13:00,WIF/USD,0.177262,0.183466,2.9838,take_profit,7.0
2026-05-28 13:00,ARB/USD,0.101779,0.105342,2.9838,take_profit,7.0
2026-05-28 14:00,RENDER/USD,1.95022,2.018478,2.9838,take_profit,1.0
2026-05-29 14:00,RENDER/USD,1.97233,2.041362,2.9838,take_profit,1.0
2026-05-29 15:00,RENDER/USD,1.9786,2.047851,2.9838,take_profit,1.0
2026-05-30 05:00,RENDER/USD,1.954,2.02239,2.9838,take_profit,8.0
2026-05-31 21:00,RENDER/USD,2.0135,2.083972,2.9838,take_profit,5.0
2026-06-01 13:00,BONK/USD,5e-06,6e-06,2.9838,take_profit,6.0
2026-06-01 14:00,RENDER/USD,1.98018,2.049486,2.9838,take_profit,1.0
2026-06-01 15:00,RENDER/USD,1.9625,2.031187,2.9838,take_profit,1.0
2026-06-01 19:00,WIF/USD,0.185485,0.191977,2.9838,take_profit,12.0
2026-06-02 15:00,WIF/USD,0.18131,0.176777,-2.9863,stop_loss,1.0
2026-06-02 15:00,BONK/USD,5e-06,5e-06,-2.9863,stop_loss,1.0
2026-06-02 15:00,ARB/USD,0.094912,0.092539,-2.9863,stop_loss,1.0
2026-06-02 19:00,WIF/USD,0.178119,0.173666,-2.9863,stop_loss,4.0
