strategy,month,position,fwd_return,pnl
wisdom_aligned,2018-08-01,1.0,0.005945863368777893,0.005945863368777893
arbitrage_trust_price,2018-08-01,1.0,0.005945863368777893,0.005945863368777893
buy_hold,2018-09-01,1.0,-0.06910454395944243,-0.06910454395944243
price_math_only,2018-09-01,1.0,-0.06910454395944243,-0.06910454395944243
web_sentiment_only,2018-09-01,1.0,-0.06910454395944243,-0.06910454395944243
wisdom_aligned,2018-09-01,1.0,-0.06910454395944243,-0.06910454395944243
arbitrage_trust_price,2018-09-01,1.0,-0.06910454395944243,-0.06910454395944243
buy_hold,2018-10-01,1.0,0.018549531441859557,0.018549531441859557
price_math_only,2018-10-01,0.0,0.018549531441859557,0.0
web_sentiment_only,2018-10-01,1.0,0.018549531441859557,0.018549531441859557
wisdom_aligned,2018-10-01,0.5,0.018549531441859557,0.009274765720929778
arbitrage_trust_price,2018-10-01,0.5,0.018549531441859557,0.009274765720929778
buy_hold,2018-11-01,1.0,-0.08804847235716085,-0.08804847235716085
price_math_only,2018-11-01,1.0,-0.08804847235716085,-0.08804847235716085
web_sentiment_only,2018-11-01,1.0,-0.08804847235716085,-0.08804847235716085
wisdom_aligned,2018-11-01,1.0,-0.08804847235716085,-0.08804847235716085
arbitrage_trust_price,2018-11-01,1.0,-0.08804847235716085,-0.08804847235716085
buy_hold,2018-12-01,1.0,0.08006554456777382,0.08006554456777382
price_math_only,2018-12-01,0.0,0.08006554456777382,0.0
web_sentiment_only,2018-12-01,1.0,0.08006554456777382,0.08006554456777382
wisdom_aligned,2018-12-01,0.5,0.08006554456777382,0.04003277228388691
arbitrage_trust_price,2018-12-01,0.5,0.08006554456777382,0.04003277228388691
buy_hold,2019-01-01,1.0,0.03241585167984651,0.03241585167984651
price_math_only,2019-01-01,1.0,0.03241585167984651,0.03241585167984651
web_sentiment_only,2019-01-01,1.0,0.03241585167984651,0.03241585167984651
wisdom_aligned,2019-01-01,1.0,0.03241585167984651,0.03241585167984651
arbitrage_trust_price,2019-01-01,1.0,0.03241585167984651,0.03241585167984651
buy_hold,2019-02-01,1.0,0.018100508824220984,0.018100508824220984
price_math_only,2019-02-01,1.0,0.018100508824220984,0.018100508824220984
web_sentiment_only,2019-02-01,1.0,0.018100508824220984,0.018100508824220984
wisdom_aligned,2019-02-01,1.0,0.018100508824220984,0.018100508824220984
arbitrage_trust_price,2019-02-01,1.0,0.018100508824220984,0.018100508824220984
buy_hold,2019-03-01,1.0,0.040852369503630914,0.040852369503630914
price_math_only,2019-03-01,1.0,0.040852369503630914,0.040852369503630914
web_sentiment_only,2019-03-01,1.0,0.040852369503630914,0.040852369503630914
wisdom_aligned,2019-03-01,1.0,0.040852369503630914,0.040852369503630914
arbitrage_trust_price,2019-03-01,1.0,0.040852369503630914,0.040852369503630914
buy_hold,2019-04-01,1.0,-0.0637711218491065,-0.0637711218491065
price_math_only,2019-04-01,1.0,-0.0637711218491065,-0.0637711218491065
web_sentiment_only,2019-04-01,0.0,-0.0637711218491065,-0.0
wisdom_aligned,2019-04-01,0.5,-0.0637711218491065,-0.03188556092455325
arbitrage_trust_price,2019-04-01,0.5,-0.0637711218491065,-0.03188556092455325
buy_hold,2019-05-01,1.0,0.06958665748331483,0.06958665748331483
price_math_only,2019-05-01,0.0,0.06958665748331483,0.0
web_sentiment_only,2019-05-01,1.0,0.06958665748331483,0.06958665748331483
wisdom_aligned,2019-05-01,0.5,0.06958665748331483,0.034793328741657414
arbitrage_trust_price,2019-05-01,0.5,0.06958665748331483,0.034793328741657414
buy_hold,2019-06-01,1.0,0.015119310137320152,0.015119310137320152
price_math_only,2019-06-01,1.0,0.015119310137320152,0.015119310137320152
web_sentiment_only,2019-06-01,0.0,0.015119310137320152,0.0
wisdom_aligned,2019-06-01,0.5,0.015119310137320152,0.007559655068660076
arbitrage_trust_price,2019-06-01,1.0,0.015119310137320152,0.015119310137320152
buy_hold,2019-07-01,1.0,-0.01674338987081414,-0.01674338987081414
price_math_only,2019-07-01,1.0,-0.01674338987081414,-0.01674338987081414
web_sentiment_only,2019-07-01,1.0,-0.01674338987081414,-0.01674338987081414
wisdom_aligned,2019-07-01,1.0,-0.01674338987081414,-0.01674338987081414
arbitrage_trust_price,2019-07-01,1.0,-0.01674338987081414,-0.01674338987081414
buy_hold,2019-08-01,1.0,0.019457640561218792,0.019457640561218792
price_math_only,2019-08-01,0.0,0.019457640561218792,0.0
web_sentiment_only,2019-08-01,0.0,0.019457640561218792,0.0
wisdom_aligned,2019-08-01,0.0,0.019457640561218792,0.0
arbitrage_trust_price,2019-08-01,0.0,0.019457640561218792,0.0
buy_hold,2019-09-01,1.0,0.022104536008962006,0.022104536008962006
price_math_only,2019-09-01,1.0,0.022104536008962006,0.022104536008962006
web_sentiment_only,2019-09-01,1.0,0.022104536008962006,0.022104536008962006
wisdom_aligned,2019-09-01,1.0,0.022104536008962006,0.022104536008962006
arbitrage_trust_price,2019-09-01,1.0,0.022104536008962006,0.022104536008962006
buy_hold,2019-10-01,1.0,0.03619841220671405,0.03619841220671405
price_math_only,2019-10-01,1.0,0.03619841220671405,0.03619841220671405
