ts_ct,qty_sold,px,qty_before,vti_val,equity,cash,cash_pct,vti_pct,sell_notional,kind,heuristic,would_skip_cash_need,cycle_lag_hours,cycle_stale,order_id
2026-07-09 08:34:14,10.787,369.24,103.048,38049,40135.0,,,94.8,3982.98,cash_unknown,cash_tight,False,0.102,False,d5c82cf6-3f45-4ccb-9583-c89facfdfe32
2026-07-13 13:18:04,92.899,369.92,199.071,73640,45369.0,,,162.3,34365.22,cash_unknown,cash_tight,False,67.756,True,30819764-b3e2-4b9a-addd-6bbe78bd1bc4
2026-07-13 13:21:32,30.914,369.82,199.133,73643,45369.0,,,162.3,11432.69,cash_unknown,cash_tight,False,67.814,True,551456b9-f95c-451e-b4c8-1f9cc0bb82d0
2026-07-13 13:22:00,61.986,369.85,168.219,62216,45369.0,,,137.1,22925.54,cash_unknown,cash_tight,False,67.821,True,a8238938-7382-4aba-a887-34bafd572eee
2026-07-13 13:27:08,40.177,369.89,199.129,73656,45369.0,,,162.3,14861.24,cash_unknown,cash_tight,False,67.907,True,ab7d394f-1c2b-4690-8e7d-78d593ba35d6
2026-07-13 13:27:27,52.75,369.89,158.952,58795,45369.0,,,129.6,19511.68,cash_unknown,cash_tight,False,67.912,True,2d06d449-740a-486a-b1d9-dc15db3b6938
2026-07-14 08:34:13,40.046,370.33,172.602,63920,45369.0,,,140.9,14830.14,cash_unknown,cash_tight,False,87.025,True,d3b2a095-5e4c-475c-8137-633337e6ce25
2026-07-23 13:47:47,57.936,364.18,189.561,69034,97029.0,10297.0,10.6,71.1,21098.96,cash_tight,cash_tight,False,123.17,True,b8c15edb-764b-47c8-be5f-53fcc1fd08e4
2026-07-31 14:20:55,2.587,368.8,131.625,48543,95174.0,13952.0,14.7,51.0,953.91,cash_unused,cash_unused,True,0.019,False,af73b72e-79a6-48a8-b8a7-c3438d4e0d6c
2026-08-05 08:39:46,11.972,382.73,139.231,53288,97515.0,22637.0,23.2,54.6,4581.98,cash_unused,cash_unused,True,0.018,False,d6176a91-358f-4f30-9409-7accfe585699
2026-08-05 08:45:21,10.127,382.89,137.437,52624,97391.0,11036.0,11.3,54.0,3877.55,cash_unused,cash_unused,True,0.026,False,5a244161-f889-43dc-88dc-6fda3352f2a6
2026-08-05 08:50:48,10.024,382.18,137.499,52549,97553.0,13844.0,14.2,53.9,3831.03,cash_unused,cash_unused,True,0.019,False,8b64a59c-1710-4655-a981-08d56556e680
2026-08-05 08:53:25,10.158,382.51,137.672,52661,97458.0,13986.0,14.4,54.0,3885.6,cash_unused,cash_unused,True,0.018,False,f64c0984-5a5f-40de-b2d0-1e25ce360174
2026-08-05 08:56:59,10.205,382.69,137.715,52702,97533.0,12972.0,13.3,54.0,3905.28,cash_unused,cash_unused,True,0.026,False,9a0bc8ca-566e-4434-a1b0-f3560dcbc835
2026-08-05 09:02:37,10.288,382.4,137.701,52657,97623.0,12477.0,12.8,53.9,3934.15,cash_unused,cash_unused,True,0.021,False,cd806ac4-bf36-4b13-8d6c-ead4def5e982
2026-08-05 09:14:58,15.256,382.97,142.863,54713,97501.0,12959.0,13.3,56.1,5842.54,cash_unused,cash_unused,True,0.027,False,817c1cf3-5eae-44e1-a935-6a111af029bd
2026-08-05 09:22:03,10.194,382.54,137.815,52720,97741.0,14323.0,14.7,53.9,3899.46,cash_unused,cash_unused,True,0.019,False,a1582280-c8c9-4aa6-9ff4-b3112517c7a5
2026-08-05 09:39:01,61.224,381.93,188.806,72111,97741.0,14323.0,14.7,73.8,23383.36,cash_tight,cash_tight,False,0.302,False,cbdb7d86-34a6-4531-97a1-ac2e6e8f90cd
2026-08-05 09:54:12,61.242,381.15,188.871,71988,97405.0,27756.0,28.5,73.9,23342.45,cash_unused,cash_unused,True,0.019,False,d7029d10-317a-40af-9dd0-36f1cac19267
2026-08-05 09:59:55,10.279,381.51,137.835,52586,97319.0,27708.0,28.5,54.0,3921.38,cash_unused,cash_unused,True,0.025,False,52066047-7b37-44c9-9fb5-f3289b94fac4
2026-08-05 10:16:38,15.321,381.03,142.984,54481,97361.0,25109.0,25.8,56.0,5837.78,cash_unused,cash_unused,True,0.025,False,ec53d69f-d365-4369-934d-adccf890815c
2026-08-05 10:22:25,10.216,381.02,137.876,52534,97277.0,10374.0,10.7,54.0,3892.61,cash_unused,cash_unused,True,0.018,False,a386d520-9a04-44ff-a74b-6fb7d96084e7
2026-08-05 10:28:39,10.158,380.66,137.877,52484,97305.0,11800.0,12.1,53.9,3866.78,cash_unused,cash_unused,True,0.027,False,847f9346-c07c-4570-9fad-ed324dba90eb
2026-08-05 10:51:21,15.324,380.5,143.125,54458,97274.0,23282.0,23.9,56.0,5830.57,cash_unused,cash_unused,True,0.035,False,8f69df14-6b05-495f-8f08-b04495dc0c9c
2026-08-05 10:56:45,10.217,380.29,138.024,52489,97254.0,10679.0,11.0,54.0,3885.37,cash_unused,cash_unused,True,0.019,False,da97b3c6-bdc5-4029-a7a0-6fac20716152
2026-08-05 11:07:14,10.258,380.06,138.029,52458,97195.0,12776.0,13.1,54.0,3898.47,cash_unused,cash_unused,True,0.026,False,a94427e2-b5ba-44ce-9f52-81f7fb3335e0
2026-08-05 11:16:48,13.773,380.33,141.593,53852,97124.0,13574.0,14.0,55.4,5238.23,cash_unused,cash_unused,True,0.021,False,b447b638-08e2-440c-83c0-b35a82f4e883
2026-08-05 11:25:49,10.247,380.54,138.045,52532,97224.0,7810.0,8.0,54.0,3899.32,cash_unused,cash_unused,True,0.024,False,ab6e4266-a330-4b46-a5f3-4a213bdf724e
2026-08-05 11:33:52,15.337,380.46,143.174,54472,97267.0,15322.0,15.8,56.0,5835.25,cash_unused,cash_unused,True,0.019,False,cf55825a-78e8-4636-977f-e4a1b9345340
2026-08-05 11:38:36,10.242,380.67,138.063,52556,97290.0,12606.0,13.0,54.0,3898.85,cash_unused,cash_unused,True,0.027,False,cc45ceb0-6f14-4804-9b94-007e0c866a53
2026-08-05 11:57:58,15.374,380.83,143.271,54562,97290.0,12606.0,13.0,56.1,5855.04,cash_unused,cash_unused,True,0.35,False,e1de6d26-5195-49b2-9c97-8d040db18c74
2026-08-05 12:01:32,10.21,380.81,138.129,52601,97413.0,11084.0,11.4,54.0,3888.13,cash_unused,cash_unused,True,0.023,False,5464290a-e42b-462b-b1b5-5e041bc728e1
2026-08-05 12:06:53,15.331,380.42,143.282,54507,97372.0,24914.0,25.6,56.0,5832.02,cash_unused,cash_unused,True,0.02,False,3a4659e6-8cd8-46df-8fba-1035dec34273
2026-08-05 12:10:19,10.223,380.44,138.186,52571,97343.0,13733.0,14.1,54.0,3889.28,cash_unused,cash_unused,True,0.025,False,4401583f-869a-4fe6-809b-5f941c4e0593
2026-08-05 12:13:56,10.262,380.59,138.196,52596,97377.0,24911.0,25.6,54.0,3905.59,cash_unused,cash_unused,True,0.02,False,ef3e2656-47d6-4818-95a2-0d6e5b9564d0
